,coef,std err,z,P>|z|,[0.025,0.975],Model
intercept,   -3.8569,    1.145,   -3.369, 0.001,   -6.100,   -1.613,Sk
boyce_clarck,    0.0944,    0.029,    3.273, 0.001,    0.038,    0.151,Sk
intercept,    3.0694,    0.939,    3.268, 0.001,    1.228,    4.910,Reock
reock,  -12.8984,    3.598,   -3.585, 0.000,  -19.950,   -5.847,Reock
intercept,    4.6464,    1.452,    3.199, 0.001,    1.800,    7.493,IQ
isoper_q,  -10.2475,    2.907,   -3.525, 0.000,  -15.945,   -4.550,IQ
intercept,   -3.8569,    1.145,   -3.369, 0.001,   -6.100,   -1.613,BC
boyce_clarck,    0.0944,    0.029,    3.273, 0.001,    0.038,    0.151,BC
